441,572
929,1000
1373,1450
1840,2250
2710,2850
3155,3250
4530,4650
4960,5100
5410,5800
6000,6314
6510,6750
6920,7100
7819,8094
8448,8736
9077,9378
9706,10019
10335,10661
10964,11303
11593,11944
12221,12586
12850,13227
13479,13869
14108,14511
14737,15152
15366,15794
15995,16436
16624,17077
17253,17719
17881,18360
18510,19002
19139,19644
19768,20285
20397,20927
21026,21569
21655,22210
22284,22852
22913,23494
23541,24135
24170,24777
24799,25418
25428,26060
26057,26702
26686,27343
27315,27985
27944,28627
28573,29268
29201,29910
29830,30551
30459,31193
31088,31835
31717,32476
32346,33118
32975,33760
33604,34401
34233,35043
34861,35684
35490,36326
36119,36968
36748,37609
37377,38251
38006,38893
38635,39534
39264,40176
39893,40818
40521,41459
41150,42101
41779,42742
42408,43384
43037,44026
43666,44667
44295,45309
44924,45951
45553,46592
46181,47234
46810,47875
47439,48517
48068,49159
48697,49800
49326,50442
49955,51084
50584,51725
51213,52367
51841,53008
52470,53650
53099,54292
53728,54933
54357,55575
54986,56217
55615,56858
