150;370
1093;1297
2430;2680
3612;3900
4130;4200
4666;4900
5850;5920
6765;6865
7729;7813
8649;8713
9570;9612
10490;10511
11411;11410
12331;12310
13252;13209
14172;14108
15092;15008
16013;15907
16933;16806
17854;17705
18774;18605
19695;19504
20615;20403
21535;21303
22456;22202
23376;23101
24297;24000
25217;24900
26138;25799
27058;26698
27978;27598
28899;28497
29819;29396
30740;30295
31660;31195
32581;32094
33501;32993
34421;33893
35342;34792
36262;35691
37183;36590
38103;37490
39024;38389
39944;39288
40864;40188
41785;41087
42705;41986
43626;42885
44546;43785
45467;44684
46387;45583
47307;46483
48228;47382
49148;48281
50069;49180
50989;50080
51910;50979
52830;51878
53750;52778
54671;53677
55591;54576
56512;55475
57432;56375
