608,837
1550,1800
2880,3100
3310,3560
4230,4500
5117,5380
6380,6450
7125,7289
8046,8197
8968,9104
9889,10011
10811,10918
11732,11825
12654,12732
13575,13639
14496,14546
15418,15453
16339,16361
17261,17268
18182,18175
19104,19082
20025,19989
20946,20896
21868,21803
22789,22710
23711,23617
24632,24524
25554,25432
26475,26339
27396,27246
28318,28153
29239,29060
30161,29967
31082,30874
32004,31781
32925,32688
33846,33596
34768,34503
35689,35410
36611,36317
37532,37224
38454,38131
39375,39038
40296,39945
41218,40852
42139,41760
43061,42667
43982,43574
44904,44481
45825,45388
46746,46295
47668,47202
48589,48109
49511,49016
50432,49923
51354,50831
52275,51738
53196,52645
54118,53552
55039,54459
55961,55366
56882,56273
