7500,7780
8250,8530
9220,9500
10060,10340
11010,11290
11900,12180
12800,13080
13650,13930
14100,14400
14700,14980
15460,15740
16400,16680
17300,17580
18200,18480
18930,19070
19340,19480
20100,20380
20750,20790
21200,21340
21900,22180
22700,22980
23500,23780
24500,24780
25420,25700
26100,26380
27210,27490
28000,28280
29140,29420
29900,30180
30900,31180
31700,31980
32650,32930
33520,33660
34050,34190
34600,35040
36500,36780
37250,37530
37650,37930
38570,38850
39220,39500
40280,40560
40910,41190
41300,41580
41900,42180
42550,42830
42985,43265
43480,43760
43990,44270
44660,44940
45170,45450
45900,46180
46690,46970
47950,48230
48390,48670
48910,49190
49620,49900
50130,50410
50680,50960
51460,51740
52400,52680
53100,53380
53900,54180
54730,55010
55470,55750
56200,56480
56780,57060
57310,57590
57870,58150
62480,62760
63190,63470
63900,64180
64550,64830
